﻿Id,ConceptName,Question,AnswerText
1,The relationship between multiplication and repeated addition.,<p>3 + 3 + 3 + 3 is the same as:</p>,"Right:<p>8 + 8 + 8 + 8 + 8</p>,Wrong:<p>3&nbsp;&times; 3</p>,Wrong:<p>4 &times;&nbsp;4</p>,Wrong:<p>3&nbsp;&times; 3&nbsp;&times; 3&nbsp;&times; 3</p>,Wrong:<p>9 &times; 9</p>,Wrong:<p>4 &times; 4</p>,Wrong:<p>9 &times; 9 &times; 9 &times; 9</p>,Wrong:<p>8 + 5</p>,Wrong:<p>5 + 5</p>,Wrong:<p>5 + 5 + 5 + 5 + 5</p>"
2,The relationship between multiplication and repeated addition.,<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>,"Right:<p>6 &times; 3</p>,Wrong:<p>3 &times; 3</p>,Wrong:<p>6 &times; 6</p>,Wrong:<p>3 &times; 3 &times; 3 &times; 3 &times; 3 &times; 3</p>"
3,The relationship between multiplication and repeated addition.,<p>7 + 7 + 7 is the same as:</p>,"Right:<p>3 + 3 + 3 + 3 + 3 + 3</p>,Wrong:<p>7 &times; 7</p>,Wrong:<p>3 &times; 3</p>,Wrong:<p>7 &times; 7 &times; 7</p>,Wrong:<p>6 + 3</p>,Wrong:<p>6 + 6</p>,Wrong:<p>3 + 3 + 3</p>"
4,The relationship between multiplication and repeated addition.,<p>4 + 4 + 4 + 4 is the same as:</p>,"Right:<p>9 + 9 + 9 + 9 + 9 + 9</p>,Wrong:<p>4 &times; 3</p>,Wrong:<p>4 + 4</p>,Wrong:<p>4 &times; 4 &times; 4 &times; 4</p>,Wrong:<p>9 + 6</p>,Wrong:<p>9 + 9</p>,Wrong:<p>6 + 6 + 6 + 6 + 6 + 6</p>"
5,Interpret products by drawing pictures.,<p>The multiplication sentence 6 &times; 2 can be represented as:</p>,"Right:<p>120</p>,Wrong:<p>6 groups of 1 element each</p>,Wrong:<p>2&nbsp;groups of 3&nbsp;elements each</p>,Wrong:<p>3&nbsp;groups of 3&nbsp;elements each</p>,Wrong:<p>6 + 4</p>,Wrong:<p>6 &times; 4 - 6</p>,Wrong:<p>6&nbsp;+ 6 + 6 + 6 + 6</p>,Wrong:<p>30</p>,Wrong:<p>120</p>,Wrong:<p>150</p>,Wrong:<p>30</p>,Wrong:<p>480</p>,Wrong:<p>360</p>"
6,Identifying division and its components.,"<p>The sentence that represents ""Equally sharing 20 cookies among 5 children"" is:</p>","Right:<p>The quotient</p>,Wrong:<p>25 &divide;&nbsp;4</p>,Wrong:<p>20 &divide;&nbsp;4</p>,Wrong:<p>25 &divide; 5</p>,Wrong:<p>6 &divide; 2 = 2</p>,Wrong:<p>12&nbsp;&divide; 2 =&nbsp;6</p>,Wrong:<p>12&nbsp;&divide; 6&nbsp;=&nbsp;2</p>,Wrong:<p>The quotient</p>,Wrong:<p>The dividend</p>,Wrong:<p>42</p>,Wrong:<p>7</p>,Wrong:<p>0</p>,Wrong:<p>7</p>,Wrong:<p>28</p>,Wrong:<p>3</p>,Wrong:<p>The divisor</p>,Wrong:<p>The dividend</p>"
7,Dividing a number into groups.,<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>,"Right:<p>There are 30 eggs sorted equally into 6 cartoons</p>,Wrong:<p>32 &divide; 3</p>,Wrong:<p>32 &divide; 8</p>,Wrong:<p>8 &divide; 4</p>,Wrong:<p>24 - 6</p>,Wrong:<p>24 &divide; 7</p>,Wrong:<p>24 &divide; 5</p>,Wrong:<p>8</p>,Wrong:<p>5</p>,Wrong:<p>3</p>,Wrong:<p>6</p>,Wrong:<p>5</p>,Wrong:<p>3</p>,Wrong:<p>3 groups of 21 elements each</p>,Wrong:<p>7&nbsp;groups of 21 elements each</p>,Wrong:<p>7&nbsp;groups of 10 elements each</p>,Wrong:<p>Jimmy has a total of 7 fish divided evenly into 35 fishbowls</p>,Wrong:<p>Jimmy has a total of 5 fish divided evenly into 7 fishbowls</p>,Wrong:<p>Jimmy has a total of 35 fish divided evenly into 5 fishbowls</p>,Wrong:<p>7 groups of 42 elements each</p>,Wrong:<p>6 groups of 6 elements each</p>,Wrong:<p>42 groups of 6 elements each</p>,Wrong:<p>There are 30 eggs and we used 6 eggs to make an omelet</p>,Wrong:<p>There are 30 boxes of candy with 6 pieces each</p>,Wrong:<p>There are 30 boxes at the super market and they got 6 more</p>"
8,Use multiplication to solve word problems using arrays and a symbol for the unknown.,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>72</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>38</p>,Wrong:<p>48</p>,Wrong:<p>532</p>,Wrong:<p>16</p>,Wrong:<p>79</p>,Wrong:<p>97</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>"
9,Use multiplication to solve word problems using arrays and a symbol for the unknown.,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>30</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>,Wrong:<p>11</p>,Wrong:<p>56</p>,Wrong:<p>65</p>"
10,Use multiplication to solve word problems using arrays and a symbol for the unknown.,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>32</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>,Wrong:<p>12</p>,Wrong:<p>48</p>,Wrong:<p>84</p>"
11,Use multiplication to solve word problems using arrays and a symbol for the unknown.,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>16</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>,Wrong:<p>10</p>,Wrong:<p>28</p>,Wrong:<p>82</p>"
12,Use multiplication to solve word problems using arrays and a symbol for the unknown.,"<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>","Right:<p>54</p>,Wrong:<p>15</p>,Wrong:<p>69</p>,Wrong:<p>96</p>"
13,Use multiplication to solve word problems involving measurement quantities using the number line.,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>72</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>"
14,Use multiplication to solve word problems involving measurement quantities using the number line.,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>24</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>"
15,Use multiplication to solve word problems involving measurement quantities using the number line.,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>15</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>"
16,Use multiplication to solve word problems involving measurement quantities using the number line.,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>28</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>"
17,Use multiplication to solve word problems involving groups.,"<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>9</p>,Wrong:<p>12</p>,Wrong:<p>13</p>,Wrong:<p>40</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>16</p>,Wrong:<p>79</p>,Wrong:<p>97</p>,Wrong:<p>18</p>,Wrong:<p>27</p>,Wrong:<p>8</p>,Wrong:<p>6</p>,Wrong:<p>24</p>,Wrong:<p>32</p>,Wrong:<p>7</p>,Wrong:<p>42</p>,Wrong:<p>54</p>,Wrong:<p>17</p>,Wrong:<p>80</p>,Wrong:<p>98</p>,Wrong:<p>6</p>,Wrong:<p>2</p>,Wrong:<p>18</p>"
18,Use multiplication to solve word problems involving groups.,"<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>","Right:<p>30</p>,Wrong:<p>18</p>,Wrong:<p>20</p>,Wrong:<p>46</p>,Wrong:<p>11</p>,Wrong:<p>56</p>,Wrong:<p>65</p>"
19,Use multiplication to solve word problems involving groups.,"<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>","Right:<p>32</p>,Wrong:<p>8</p>,Wrong:<p>10</p>,Wrong:<p>30</p>,Wrong:<p>12</p>,Wrong:<p>48</p>,Wrong:<p>84</p>"
20,Use multiplication to solve word problems involving groups.,"<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>","Right:<p>16</p>,Wrong:<p>11</p>,Wrong:<p>15</p>,Wrong:<p>47</p>,Wrong:<p>10</p>,Wrong:<p>28</p>,Wrong:<p>82</p>"
