ConceptName	QuestionName	Question	AnswerText	Correct
The relationship between multiplication and repeated addition.	Q1	<p>3 + 3 + 3 + 3 is the same as:</p>	<p>4 &times; 3</p>	yes
The relationship between multiplication and repeated addition.	Q1	<p>3 + 3 + 3 + 3 is the same as:</p>	<p>3&nbsp;&times; 3</p>	
The relationship between multiplication and repeated addition.	Q1	<p>3 + 3 + 3 + 3 is the same as:</p>	<p>4 &times;&nbsp;4</p>	
The relationship between multiplication and repeated addition.	Q1	<p>3 + 3 + 3 + 3 is the same as:</p>	<p>3&nbsp;&times; 3&nbsp;&times; 3&nbsp;&times; 3</p>	
The relationship between multiplication and repeated addition.	Q1	<p>9 + 9 + 9 + 9 is the same as:</p>	<p>4 &times; 9</p>	yes
The relationship between multiplication and repeated addition.	Q1	<p>9 + 9 + 9 + 9 is the same as:</p>	<p>9 &times; 9</p>	
The relationship between multiplication and repeated addition.	Q1	<p>9 + 9 + 9 + 9 is the same as:</p>	<p>4 &times; 4</p>	
The relationship between multiplication and repeated addition.	Q1	<p>9 + 9 + 9 + 9 is the same as:</p>	<p>9 &times; 9 &times; 9 &times; 9</p>	
The relationship between multiplication and repeated addition.	Q2	<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>	<p>6 &times; 3</p>	yes
The relationship between multiplication and repeated addition.	Q2	<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>	<p>3 &times; 3</p>	
The relationship between multiplication and repeated addition.	Q2	<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>	<p>6 &times; 6</p>	
The relationship between multiplication and repeated addition.	Q2	<p>3 + 3 + 3 + 3 + 3 + 3&nbsp;is the same as:</p>	<p>3 &times; 3 &times; 3 &times; 3 &times; 3 &times; 3</p>	
The relationship between multiplication and repeated addition.	Q3	<p>7 + 7 + 7 is the same as:</p>	<p>3 &times; 7</p>	yes
The relationship between multiplication and repeated addition.	Q3	<p>7 + 7 + 7 is the same as:</p>	<p>7 &times; 7</p>	
The relationship between multiplication and repeated addition.	Q3	<p>7 + 7 + 7 is the same as:</p>	<p>3 &times; 3</p>	
The relationship between multiplication and repeated addition.	Q3	<p>7 + 7 + 7 is the same as:</p>	<p>7 &times; 7 &times; 7</p>	
The relationship between multiplication and repeated addition.	Q5	<p>4 + 4 + 4 + 4 is the same as:</p>	<p>4 &times; 4</p>	yes
The relationship between multiplication and repeated addition.	Q5	<p>4 + 4 + 4 + 4 is the same as:</p>	<p>4 &times; 3</p>	
The relationship between multiplication and repeated addition.	Q5	<p>4 + 4 + 4 + 4 is the same as:</p>	<p>4 + 4</p>	
The relationship between multiplication and repeated addition.	Q5	<p>4 + 4 + 4 + 4 is the same as:</p>	<p>4 &times; 4 &times; 4 &times; 4</p>	
The relationship between multiplication and repeated addition.	Q1	<p>5 &times; 8 is the same as:</p>	<p>8 + 5</p>	
The relationship between multiplication and repeated addition.	Q1	<p>5 &times; 8 is the same as:</p>	<p>5 + 5</p>	
The relationship between multiplication and repeated addition.	Q1	<p>5 &times; 8 is the same as:</p>	<p>5 + 5 + 5 + 5 + 5</p>	
The relationship between multiplication and repeated addition.	Q1	<p>5 &times; 8 is the same as:</p>	<p>8 + 8 + 8 + 8 + 8</p>	yes
The relationship between multiplication and repeated addition.	Q3	<p>6 &times; 3 is the same as:</p>	<p>6 + 3</p>	
The relationship between multiplication and repeated addition.	Q3	<p>6 &times; 3 is the same as:</p>	<p>6 + 6</p>	
The relationship between multiplication and repeated addition.	Q3	<p>6 &times; 3 is the same as:</p>	<p>3 + 3 + 3</p>	
The relationship between multiplication and repeated addition.	Q3	<p>6 &times; 3 is the same as:</p>	<p>3 + 3 + 3 + 3 + 3 + 3</p>	yes
The relationship between multiplication and repeated addition.	Q5	<p>6 &times; 9 is the same as:</p>	<p>9 + 6</p>	
The relationship between multiplication and repeated addition.	Q5	<p>6 &times; 9 is the same as:</p>	<p>9 + 9</p>	
The relationship between multiplication and repeated addition.	Q5	<p>6 &times; 9 is the same as:</p>	<p>6 + 6 + 6 + 6 + 6 + 6</p>	
The relationship between multiplication and repeated addition.	Q5	<p>6 &times; 9 is the same as:</p>	<p>9 + 9 + 9 + 9 + 9 + 9</p>	yes
Interpret products by drawing pictures.	Q1	<p>The multiplication sentence 6 &times; 2 can be represented as:</p>	<p>6 groups of 1 element each</p>	
Interpret products by drawing pictures.	Q1	<p>The multiplication sentence 6 &times; 2 can be represented as:</p>	<p>2&nbsp;groups of 3&nbsp;elements each</p>	
Interpret products by drawing pictures.	Q1	<p>The multiplication sentence 6 &times; 2 can be represented as:</p>	<p>3&nbsp;groups of 3&nbsp;elements each</p>	
Interpret products by drawing pictures.	Q1	<p>The multiplication sentence 6 &times; 2 can be represented as:</p>	<p>6 groups of 2&nbsp;elements each</p>	yes
Interpret products by drawing pictures.	Q1	<p>If we have 6 groups of 4 elements each, then the total number of elements can be represented as:</p>	<p>6 + 4</p>	
