Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
1,Multiplication and Repeated Addition,,Repeated addition is a foundational strategy in Grade 3 math,Learn how to represent multiplication through repeated addition,publish,Representing Multiplication,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/dFZ6lqX_L4A"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:1, id:2, id:3, id:4"
2,Multiplication and Groups,,Grouping objects to represent and understand multiplication is a powerful visual strategy in Grade 3. Students will explore how organizing objects into groups not only simplifies multiplication but also fosters a deeper understanding of the concept. This approach makes abstract mathematical ideas more tangible,Explore multiplication by grouping objects,publish,Representing Multiplication,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/U8VhIUT8JVg"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:5, id:17, id:18, id:19, id:20, id:21"
3,Multiplication Using Arrays,,Arrays provide a robust visual strategy for learning multiplication in Grade 3. By organizing objects into rows and columns,Understand multiplication through arrays,publish,Representing Multiplication,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/FF_uo-W7Ky4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:8, id:9, id:10, id:11, id:12"
4,Multiplication Using the Number Line,,The number line is a versatile tool for representing and solving multiplication problems in Grade 3. By learning to use the number line,Learn to use a number line to visualize and solve multiplication problems effectively.,publish,Representing Multiplication,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/RAnMFK_W518"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:13, id:14, id:15, id:16"
5,"Division: Quotient, Dividend and Divisor",,"Introducing the concept of dividend in Grade 3 division is crucial for establishing a foundational understanding of the division process. Students will learn that the dividend represents the total quantity being divided into equal groups or parts. This understanding is essential for interpreting and solving division problems effectively, as it defines the starting point of the division operation.",Introduce the concepts of quotient,publish,Division,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/wGtZ4NWaUio"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:6
6,Dividing a Number into Groups,,Dividing a number into equal groups is a fundamental concept in Grade 3 division. Students will explore how division involves splitting a collection of objects into sets with a specific number in each set. This practical approach reinforces the understanding of division and its application in solving real-world problems,Learn to divide numbers into equal groups,publish,Division,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/6lx-AyGDMQU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:7, id:22"
7,Division Using Arrays,,Using arrays for division offers a visual approach to understanding and solving division problems in Grade 3. Students will learn how arrays can represent equal parts of a whole,Explore division through arrays,publish,Division,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/nPHq-GkerVc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:23
8,Division Using Multiplication Table,,Utilizing the multiplication table for division problems is a powerful strategy that helps students understand the connection between multiplication and division. By learning how to use the multiplication table to solve division problems,Learn to use multiplication tables to solve division problems,publish,Division,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/2elNqHOm--Y"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:30, id:31"
9,Division Using Properties of Operations,,Understanding properties of operations,Understand how properties of operations can simplify division problems,publish,Division,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/xUkBJovWKDg"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:38, id:39"
10,Word Problems Involving Multiplication Using Arrays,,Arrays offer a practical approach to solving word problems involving multiplication in Grade 3. Students will learn how arrays can effectively represent quantities in word problems,Apply multiplication concepts to solve word problems using arrays,publish,Multiplication Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MSwi_6UpyEk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
